pk_product,date_collected,product_itemid,product_shopid,product_category,product_name,product_price,product_price_min,product_price_max,product_discount,product_brand,product_like_count,product_comment_count,product_views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_variation_count
202106137919342724,2021-06-13,7919342724,1083822,Short Sleeves,NKD Korean Fashion Erich Basic Daily Polo Tie Top 1104,300.0,135,138,55,No Brand,4504,3696,12815,3447,146,70,9,24,3696,4.89,134411,10154,1,"Taytay, Rizal",0,0,0,0,0,0,0,20
202106137140015494,2021-06-13,7140015494,130651949,Short Sleeves,OnlyYouth Classic knitted blouse korean top short sleeves,,149,149,0,No Brand,293,158,2189,148,3,3,2,0,156,4.9,84,336,1,"San Nicolas, Metro Manila",0,0,0,0,0,0,0,9
202106134843903203,2021-06-13,4843903203,55748694,Short Sleeves,SS Oversized Ringer Top Plus Size Korean Fashion Women Tops Basic Tee,200.0,75,75,63,No Brand,8184,15912,19575,13890,984,606,178,251,15909,4.77,7721,68171,1,"Taytay, Rizal",0,0,0,1,0,0,0,14
2021061311405348262,2021-06-13,11405348262,396605392,Short Sleeves,Women's T-shirt Short Sleeve Collar with small daisy embroidery Korean Fashion 2021,391.0,294,294,25,No Brand,13,0,317,0,0,0,0,0,0,0.0,10799,0,1,Mainland China,0,0,0,1,0,0,0,3
202106132553628745,2021-06-13,2553628745,55748694,Short Sleeves,SS Korean Tops Square Neck Fashion Blouse Semi Crop Top,300.0,55,55,82,No Brand,5999,11825,27205,10138,778,459,200,249,11824,4.72,3358,35672,1,"Taytay, Rizal",0,0,1,1,0,0,1,10
202106137217869256,2021-06-13,7217869256,1083822,Short Sleeves,NKD Korean Fashion Edith Plain X Back Basic Top 1052,150.0,63,63,58,No Brand,518,1544,1029,1422,59,34,12,17,1544,4.85,49297,4333,1,"Taytay, Rizal",0,0,0,0,0,0,0,7
202106133018638392,2021-06-13,3018638392,50582861,Short Sleeves,DIRECT SUPPLIER Korean Fashion Jade Plain Basic Cut Out Top 1054,150.0,58,58,61,No Brand,24,83,1105,80,2,0,0,0,82,4.98,8779,189,1,"Taytay, Rizal",0,0,0,0,0,0,0,9
202106135772767357,2021-06-13,5772767357,348906275,Short Sleeves,Korean style loose and comfortable long-sleeved top,603.0,423,423,30,No Brand,4,0,14,0,0,0,0,0,0,0.0,5244,1,1,"Makati City, Metro Manila",0,0,0,1,0,0,0,3
202106134838940464,2021-06-13,4838940464,55748694,Short Sleeves,SS Korean Crop Top Cinched Cut Garter Tops V Neck Blouse,150.0,58,64,61,No Brand,25389,19744,50978,17229,1293,726,185,309,19742,4.77,34856,55528,1,"Taytay, Rizal",0,0,1,1,0,0,0,14
202106133216519312,2021-06-13,3216519312,1083822,Short Sleeves,NKD Korean Fashion Angel Printed Floral Puff Sleeves Ribbon Tie Top 1004,180.0,89,89,51,No Brand,528,1164,2535,1074,49,26,6,9,1164,4.87,8570,3226,1,"Taytay, Rizal",0,0,0,0,0,0,0,9
202106137758962170,2021-06-13,7758962170,64360491,Short Sleeves,korean fashion knitted blouse knitted top shortsleeve,300.0,80,80,73,No Brand,26,70,888,68,1,0,0,0,69,4.99,183,146,1,"Pasay City, Metro Manila",0,0,0,0,0,0,0,12
202106137956324829,2021-06-13,7956324829,36247807,Short Sleeves,Korean casual New top Women Clothes T-shirt Summer short sleeve cartoon long blouse(BVQ),200.0,79,79,61,No Brand,10210,8791,49518,7318,638,440,152,238,8786,4.67,320395,39881,1,"San Nicolas, Metro Manila",0,0,1,1,0,0,0,39
202106136717870027,2021-06-13,6717870027,1083822,Short Sleeves,NKD Korean Fashion Jade Plain Basic Cut Out Top 1054,150.0,58,58,61,No Brand,178,489,3595,473,7,4,3,2,489,4.93,8079,1169,1,"Taytay, Rizal",0,0,0,0,0,0,0,9
202106136258961926,2021-06-13,6258961926,64360491,Short Sleeves,korean fashion knitted blouse knitted top shortsleeve,300.0,99,99,67,No Brand,58,140,746,135,3,2,0,0,140,4.95,360,295,1,"Pasay City, Metro Manila",0,0,0,0,0,0,0,12
202106133500414278,2021-06-13,3500414278,55748694,Short Sleeves,SS Korean Overlap Top Ruffle Tops Women Fashion Top Wrap Around,300.0,79,92,74,No Brand,8590,10244,19033,9164,497,285,115,180,10241,4.79,3392,32179,1,"Taytay, Rizal",0,0,1,1,0,0,0,16
202106138812869286,2021-06-13,8812869286,46399675,Short Sleeves,MIKANA Korean Squareneck Knitted Top,200.0,55,55,73,No Brand,8689,9648,123851,8824,363,247,84,129,9647,4.83,10918,26879,1,"Pasig City, Metro Manila",0,0,1,1,0,0,0,7
202106139561220312,2021-06-13,9561220312,64360491,Short Sleeves,korean fashion knitted Round neck blouse top short sleeves,300.0,250,250,17,No Brand,19,4,669,4,0,0,0,0,4,5.0,90,24,1,"Pasay City, Metro Manila",0,0,0,0,0,0,0,3
202106135640404015,2021-06-13,5640404015,1083822,Short Sleeves,NKD Korean Fashion Sara Loose Trendy Top 58230,180.0,86,86,55,No Brand,344,660,2028,610,26,13,2,9,660,4.86,88828,1720,1,"Taytay, Rizal",0,0,0,0,0,0,0,9
